id,host_name,latitude,longitude,price,availability_30,number_of_reviews,minimum_nights,last_scraped,room_type,city,listing_date,listing_time
1183497930867877337,Shaine,40.435765199125726,-3.609289202532755,$89.00,29,5,1,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
1183801349836359209,Cristina,40.40376,-3.71987,$88.00,12,28,2,2025-03-05,Entire home/apt,Madrid,2025-04-30,00:00:00
1182009744988616343,Jose,40.40847,-3.70525,$111.00,2,64,1,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
1182015771409399186,Elvira,40.43302118951087,-3.713318556547165,$157.00,22,15,2,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1182067459824569759,Kristina,40.41334795571807,-3.7020182333880256,$98.00,30,2,60,2025-03-11,Entire home/apt,Madrid,2025-03-11,00:00:00
1182380829729756239,Iván,40.4257444,-3.6694854,$178.00,14,12,1,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
1182383143823266939,Raul,40.4175,-3.70612,$97.00,12,36,1,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
1182386792011407135,Luxury Rentals Madrid,40.45853509717764,-3.696517467489829,$99.00,15,8,1,2025-03-06,Entire home/apt,Madrid,2025-04-30,00:00:00
1182397916341092989,Luxury Rentals Madrid,40.45737,-3.69829,$123.00,12,17,1,2025-03-10,Entire home/apt,Madrid,2025-03-10,00:00:00
1182399174283644362,Paloma,40.428582032734205,-3.642862008993665,$71.00,0,11,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1182412464573932536,Pablo,40.40368718049671,-3.696022304264365,,0,0,19,2025-03-07,Private room,Madrid,2025-03-07,00:00:00
1183802339903130044,Cristina,40.40374355497086,-3.717666672476498,$135.00,19,65,2,2025-03-05,Entire home/apt,Madrid,2025-04-29,00:00:00
1183802345838158119,Cristina,40.40222086402494,-3.718406125653344,$141.00,0,14,2,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
1183866568449070500,Omar,40.381423061125794,-3.7163493277081865,$43.00,5,13,2,2025-03-05,Private room,Madrid,2025-04-29,00:00:00
1183867021753271825,Francy,40.43113957261734,-3.66948809012836,$46.00,26,1,4,2025-03-05,Private room,Madrid,2025-03-05,00:00:00
1182425776686376099,Luxury Rentals Madrid,40.458681768264256,-3.696243609777422,$126.00,18,13,1,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1182429230922944697,Francis,40.3954792688721,-3.71063614970089,$368.00,19,1,1,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1182437301214198978,Borhan,40.40651,-3.7385,$99.00,25,3,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1182447288849030496,Emilio,40.427692812282736,-3.663824144847961,$34.00,15,56,1,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
1182453715974411405,Jose Alejandro,40.425519794983614,-3.711963345317865,,0,177,1,2025-03-07,Private room,Madrid,2025-03-07,00:00:00
1182460791013655115,Tesbaron,40.40921,-3.7123,$82.00,0,0,6,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
1182477748089415290,Ignacio Maria,40.40515,-3.67348,$39.00,27,15,1,2025-03-06,Private room,Madrid,2025-04-30,00:00:00
1182478237911142909,Emilio,40.37903,-3.74086,$131.00,21,16,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1182545517100967208,Laura,40.39012,-3.72195,$30.00,9,26,2,2025-03-11,Private room,Madrid,2025-04-29,00:00:00
1182553083984672461,Emilio,40.43110386640298,-3.718663657429963,$118.00,20,6,1,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1183892912348967055,Holplace,40.41404,-3.72563,$334.00,28,0,1,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1183895430255203236,Holplace,40.41019,-3.70447,$180.00,25,0,1,2025-03-08,Entire home/apt,Madrid,2025-03-08,00:00:00
1183896708166880574,Francisco Andres,40.40918319659284,-3.713290292359421,$62.00,7,20,1,2025-03-10,Private room,Madrid,2025-03-10,00:00:00
1183902008415376304,Sergio Mauricio,40.4097088,-3.7059328,$154.00,5,34,3,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1183946385716293478,Blueground,40.43266319999999,-3.7119756,$112.00,0,0,30,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1182553127009995432,Emilio,40.41237585533869,-3.696503252305361,$288.00,16,13,1,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
1182559612426977302,Jose Maria,40.45432,-3.70001,$159.00,0,3,2,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1182562166558637269,SvTourist,40.42931026514045,-3.699459657672117,,0,3,30,2025-03-10,Entire home/apt,Madrid,2025-03-10,00:00:00
1182570662833410541,Jorge,40.38623911551161,-3.700300507407303,$69.00,0,0,28,2025-03-05,Entire home/apt,Madrid,2025-04-30,00:00:00
1182587718995155353,Miguel Angel,40.408,-3.71409,$90.00,0,13,3,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
1182590747445312925,Guiomar,40.46309,-3.70923,$29.00,5,1,14,2025-03-10,Private room,Madrid,2025-03-10,00:00:00
1182606801908227801,Galota,40.40569,-3.72436,$189.00,2,0,3,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1182707273297327769,Nacho,40.39357,-3.66653,$91.00,14,2,1,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1182734758417845655,Khouloud,40.41885,-3.70573,$104.00,9,28,2,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1182741543103690651,Anna Elisa,40.4299,-3.7224,,0,1,3,2025-03-10,Private room,Madrid,2025-03-10,00:00:00
1182791998837750807,Aigerim,40.3454,-3.68948,$20.00,30,0,120,2025-03-05,Private room,Madrid,2025-04-29,00:00:00
1183948882290132554,Blueground,40.450005,-3.703251600000001,$126.00,0,0,30,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1183949302922616758,Blueground,40.4243695,-3.7026741,$150.00,0,0,30,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
1183982807489091253,Renny,40.43064740745713,-3.618223034691691,$38.00,10,4,1,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
1183997047719844211,Caridad Noelia,40.40310833599095,-3.7036871933221938,$128.00,14,9,3,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1184000604564776093,Ashweetha,40.42853215809807,-3.708988801509829,$150.00,4,3,1,2025-03-10,Entire home/apt,Madrid,2025-04-29,00:00:00
1182885029309712823,Alexa Yohanna,40.4518,-3.70836,"$2,000.00",30,0,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1183015531236405460,C. B.  Zugaza,40.41517544528224,-3.7026501740806816,$476.00,0,11,4,2025-03-08,Entire home/apt,Madrid,2025-03-08,00:00:00
1183055749643755435,Loreto,40.4119122,-3.7099698,$138.00,20,1,3,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1183074172540495371,Ana,40.42684,-3.68448,$92.00,10,29,3,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1183075127576522274,Rachel,40.4627343,-3.6981062,$80.00,22,7,1,2025-03-06,Entire home/apt,Madrid,2025-04-30,00:00:00
1183077485746095921,Rachel,40.4627343,-3.6981062,$92.00,16,9,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1183079345536437587,Rachel,40.46198,-3.69924,$87.00,15,15,1,2025-03-05,Entire home/apt,Madrid,2025-04-29,00:00:00
1183081309814982571,Ukio,40.45966288241296,-3.6976031380323273,$107.00,4,0,31,2025-03-05,Entire home/apt,Madrid,2025-04-30,00:00:00
1183081544642508286,Rachel,40.46293,-3.69732,$83.00,18,4,1,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
1184029198905409826,Sergio Mauricio,40.4097088,-3.7059328,$132.00,11,25,3,2025-03-10,Entire home/apt,Madrid,2025-04-29,00:00:00
1184058604498552262,Aigerim,40.345719425516734,-3.688015347340736,$21.00,30,1,90,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
1184059500047976294,Domingo José,40.39442,-3.72252,,0,0,4,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
1183111303225126444,Liudmyla,40.42580886265896,-3.716864468316901,$57.00,17,4,1,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
1183114607433421257,Jorge,40.42168,-3.70085,,0,10,2,2025-03-10,Entire home/apt,Madrid,2025-04-29,00:00:00
1183118942748463909,Jorge,40.386546946301344,-3.6993735019204017,$58.00,1,0,28,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
1183124127373628849,Home Club,40.42611747518,-3.700181453702734,$110.00,0,0,1,2025-03-10,Entire home/apt,Madrid,2025-04-30,00:00:00
1183129313671223910,Audilia Antonia,40.41679,-3.70574,$140.00,7,21,4,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
1183132269960754160,Habyt,40.4122738,-3.7053936,,0,1,30,2025-03-07,Private room,Madrid,2025-03-07,00:00:00
1183133165054606312,Liudmyla,40.42397,-3.7169,$42.00,18,1,1,2025-03-05,Private room,Madrid,2025-03-05,00:00:00
1183135139909090282,Yonathan,40.4225339,-3.6978893,$173.00,25,24,2,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
1183135383050248925,Lenin,40.42199,-3.70273,,0,2,1,2025-03-12,Entire home/apt,Madrid,2025-04-30,00:00:00
1183137682594986911,Liudmyla,40.42538,-3.71691,$43.00,15,26,1,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
1184083533595076036,Francisco Andres,40.43025,-3.66675,$127.00,5,3,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1184178860754906030,Jose Manuel,40.4291997,-3.7353172,$137.00,29,4,3,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1184231362165116195,Francisco Andres,40.46182365179937,-3.705267629506204,$125.00,27,4,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1184517378743456327,Hernan Andres,40.4152082,-3.701810099999999,$53.00,22,20,2,2025-03-06,Private room,Madrid,2025-03-06,00:00:00
1183142105944756684,Liudmyla,40.42396773282949,-3.714669108563924,$44.00,13,14,1,2025-03-06,Private room,Madrid,2025-03-06,00:00:00
1183159909513252072,Ana,40.41198,-3.69913,$80.00,16,6,1,2025-03-12,Entire home/apt,Madrid,2025-03-12,00:00:00
1186861079785625002,Blueground,40.44737,-3.6903,$215.00,2,0,30,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
1186863614282734703,Steve,40.40272,-3.65324,$44.00,30,1,2,2025-03-06,Private room,Madrid,2025-03-06,00:00:00
1186864452529516320,Salomé,40.43089920327761,-3.7034740980414433,$27.00,10,0,1,2025-03-06,Private room,Madrid,2025-03-06,00:00:00
1186876056440545556,Ukio,40.44417,-3.69925,$227.00,10,0,31,2025-03-10,Entire home/apt,Madrid,2025-04-30,00:00:00
1186882326882915910,Ukio,40.42927,-3.70607,$123.00,2,0,31,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1186883052020508669,Aigerim,40.37837411354124,-3.732602293457009,$30.00,30,0,90,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
1186892471335659263,Marta,40.44907,-3.69993,$107.00,11,27,4,2025-03-05,Entire home/apt,Madrid,2025-04-30,00:00:00
1184563024050199753,Miguel,40.455492,-3.7061685,$119.00,0,4,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1184574183170179760,Jorge,40.406588,-3.7501011,$63.00,14,1,7,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1184580989230307416,Hernan Andres,40.4152082,-3.701810099999999,$54.00,17,33,2,2025-03-10,Private room,Madrid,2025-03-10,00:00:00
1184591611179040907,Lippy,40.484807449879504,-3.687717073456168,$138.00,19,0,1,2025-03-05,Entire home/apt,Madrid,2025-03-05,00:00:00
1184710118224244091,Laura,40.37409419999999,-3.7498265,$189.00,30,1,1,2025-03-11,Private room,Madrid,2025-03-11,00:00:00
1184793504625829151,Jesús Antonio,40.43814973190891,-3.653718584997657,$49.00,0,8,1,2025-03-05,Private room,Madrid,2025-03-05,00:00:00
1186905968827884859,David,40.38720764873992,-3.6367506498138265,$35.00,0,1,28,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
1186929574167469407,Promociones,40.42774,-3.68614,$197.00,0,5,1,2025-03-07,Entire home/apt,Madrid,2025-03-07,00:00:00
1186930678387493780,Home Club,40.43101,-3.67703,$213.00,0,0,1,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1186934793151747432,Mamadou Makhtar,40.40879,-3.7031,$81.00,22,3,1,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1186992214614124190,Marcelino,40.421269,-3.6967299,$61.00,22,5,1,2025-03-06,Private room,Madrid,2025-04-30,00:00:00
1187023205925798415,Katherin,40.3887814,-3.7296258,$53.00,16,49,1,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
1187054320981933288,Miguel,40.44319254645241,-3.699779034216416,$154.00,0,8,3,2025-03-06,Entire home/apt,Madrid,2025-04-30,00:00:00
1187069438539392340,Salomé,40.41451,-3.70576,$35.00,30,0,10,2025-03-12,Private room,Madrid,2025-03-12,00:00:00
1187101588312183092,AsdrÚBal,40.42544,-3.67758,$121.00,0,0,31,2025-03-06,Entire home/apt,Madrid,2025-03-06,00:00:00
1187259200109243453,Meryem,40.407083345341846,-3.740596643422507,$25.00,2,10,1,2025-03-05,Private room,Madrid,2025-03-05,00:00:00
