id,host_name,latitude,longitude,price,availability_30,number_of_reviews,minimum_nights,last_scraped,room_type,city,listing_date,listing_time
1182557046583381882,Habitat Apartments,41.3792,2.17731,,4,20,1,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1182557199955821152,Habitat Apartments,41.39236052448896,2.180482609603532,$227.00,0,29,1,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1184857796495437744,Artem,41.40909067853088,2.1656642011272504,$104.00,0,0,32,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1185318110291434210,Jose Alejo,41.4012397,2.1379274,$130.00,13,2,1,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1185376997116942638,Jose Alejo,41.4012397,2.1379274,$130.00,18,2,1,2025-03-10,Entire home/apt,Barcelona,2025-03-10,00:00:00
1185411248628238123,Jose Alejo,41.4012397,2.1379274,$143.00,19,0,1,2025-03-11,Entire home/apt,Barcelona,2025-04-29,00:00:00
1185440157948305388,Juan Carlos,41.386820687271616,2.175513244448811,$111.00,27,1,1,2025-03-07,Private room,Barcelona,2025-03-07,00:00:00
1185467748965904070,Santos,41.38194,2.13732,$37.00,0,9,3,2025-03-11,Private room,Barcelona,2025-03-11,00:00:00
1185533238128501059,Jose Alejo,41.4012397,2.1379274,,2,2,1,2025-03-08,Entire home/apt,Barcelona,2025-03-08,00:00:00
1182559959019324003,Ukio,41.39172935528452,2.176455591069693,$131.00,0,0,31,2025-03-08,Entire home/apt,Barcelona,2025-03-08,00:00:00
1182568234936048255,David,41.40363244667348,2.1751811158054983,$36.00,0,0,32,2025-03-08,Private room,Barcelona,2025-03-08,00:00:00
1182580239090855159,David,41.40321,2.17744,$32.00,0,1,32,2025-03-08,Private room,Barcelona,2025-03-08,00:00:00
1182589999280472357,David,41.4028241,2.1763345,$35.00,0,0,32,2025-03-08,Private room,Barcelona,2025-03-08,00:00:00
1182594667348711515,Fabiola,41.38165,2.19109,,0,0,32,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1182632683105616190,Borges,41.41165816622445,2.1680856939348474,$20.00,25,0,32,2025-03-11,Private room,Barcelona,2025-04-29,00:00:00
1182669824675958306,Acomodis Apartments,41.378837139657655,2.146902489199406,$877.00,30,0,1,2025-03-05,Entire home/apt,Barcelona,2025-04-30,00:00:00
1182673085399425823,Murman,41.375938718484704,2.1554468305607912,,0,0,1,2025-03-06,Private room,Barcelona,2025-03-06,00:00:00
1182719434923291570,Roberto,41.38276,2.18312,$65.00,0,0,32,2025-03-05,Entire home/apt,Barcelona,2025-04-29,00:00:00
1183065463187563346,David,41.4028241,2.1763345,$34.00,5,0,32,2025-03-12,Private room,Barcelona,2025-04-29,00:00:00
1186020787006432207,Adolfa,41.40743660672303,2.210479820938938,$200.00,30,0,1,2025-03-11,Private room,Barcelona,2025-03-11,00:00:00
1186139754308122046,Casa De Barca,41.3899,2.17557,,0,2,1,2025-03-06,Private room,Barcelona,2025-03-06,00:00:00
1186172871368532500,Marta And Emanuele,41.3753194,2.1568268,$290.00,25,8,3,2025-03-05,Entire home/apt,Barcelona,2025-03-05,00:00:00
1186184497071385387,Loca Bcn,41.39515687695833,2.1768874965331264,$202.00,1,38,1,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1186267076334954739,Marc,41.40416,2.14697,,0,0,32,2025-03-06,Entire home/apt,Barcelona,2025-04-30,00:00:00
1186272193821717705,Alex,41.37623300072063,2.167772703055461,$71.00,9,31,2,2025-03-07,Private room,Barcelona,2025-03-07,00:00:00
1186355988939951326,Tatuli,41.43124249912622,2.181333116248089,$80.00,13,18,1,2025-03-12,Private room,Barcelona,2025-03-12,00:00:00
1183108224531101673,David,41.4028241,2.1763345,,0,0,32,2025-03-06,Private room,Barcelona,2025-03-06,00:00:00
1183108967315268306,Alejandro,41.3873457,2.1357628,$89.00,1,33,1,2025-03-11,Entire home/apt,Barcelona,2025-03-11,00:00:00
1183127266081601886,Victor Manuel,41.379696822473385,2.156295015767228,$69.00,0,5,12,2025-03-05,Private room,Barcelona,2025-03-05,00:00:00
1183139935289156751,Miguel,41.4232264,2.1514669,$90.00,0,5,1,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1183146635229347122,Miguel,41.4032409,2.1763496,"$1,200.00",29,0,1,2025-03-11,Entire home/apt,Barcelona,2025-04-30,00:00:00
1183148160182750985,Carlos,41.38051590486769,2.164663344400699,$71.00,3,1,31,2025-03-11,Entire home/apt,Barcelona,2025-03-11,00:00:00
1183152611937117494,Borges,41.37299,2.17454,$19.00,30,0,32,2025-03-06,Private room,Barcelona,2025-03-06,00:00:00
1183163726496320538,Marc,41.37691301162649,2.14488563210183,$70.00,0,2,31,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1183185927717485350,Amir Hossein,41.3958998,2.1834609,$222.00,10,40,2,2025-03-11,Entire home/apt,Barcelona,2025-04-30,00:00:00
1183207450790603952,Joan Marc,41.40114369134161,2.168592836765866,$127.00,19,13,1,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1186373504921024254,María Caridad,41.3891,2.17506,$230.00,9,18,2,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1186557696488151161,Robinson,41.4010582,2.1843465,$144.00,8,30,1,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1186683118236298839,Winahost,41.4295009,2.1417618,$62.00,3,1,1,2025-03-07,Entire home/apt,Barcelona,2025-03-07,00:00:00
1186721035394428811,Miguel,41.38864124856772,2.1775805577635765,,0,0,3,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
1186744549995460555,Rick,41.37392,2.16672,$79.00,30,0,31,2025-03-07,Private room,Barcelona,2025-03-07,00:00:00
1186751552668117072,Hola Barcelona,41.37027,2.14557,$37.00,3,18,8,2025-03-11,Private room,Barcelona,2025-03-11,00:00:00
1186770230341276738,Priscila,41.397212627533264,2.168529324640404,$29.00,2,2,32,2025-03-07,Private room,Barcelona,2025-04-29,00:00:00
1186837311692389561,Julian,41.38383233631939,2.1677365598496205,$100.00,4,0,32,2025-03-06,Entire home/apt,Barcelona,2025-03-06,00:00:00
